,UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
0,1,January 01 2018,DOG,UNKNOWN,,U,False,Brooklyn,11220
1,2,January 04 2018,DOG,UNKNOWN,,U,False,Brooklyn,
2,3,January 06 2018,DOG,Pit Bull,,U,False,Brooklyn,11224
3,4,January 08 2018,DOG,Mixed/Other,4,M,False,Brooklyn,11231
4,5,January 09 2018,DOG,Pit Bull,,U,False,Brooklyn,11224
5,6,January 03 2018,DOG,BASENJI,4Y,M,False,Brooklyn,11231
6,7,January 01 2018,DOG,UNKNOWN,,U,False,Brooklyn,
7,8,January 03 2018,DOG,Pit Bull,,U,False,Brooklyn,11233
8,9,January 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5Y,M,False,Brooklyn,11235
9,10,January 10 2018,DOG,MIXED,3Y,F,False,Brooklyn,11208
10,11,January 06 2018,DOG,,,U,False,Brooklyn,11215
11,12,January 07 2018,DOG,Yorkshire Terrier Crossbreed,7,M,True,Brooklyn,11208
12,13,January 06 2018,DOG,Great Dane,6,F,True,Brooklyn,
13,14,January 01 2018,DOG,Pit Bull,,U,False,Brooklyn,11220
14,15,January 09 2018,DOG,Labradoodle,5,F,True,Brooklyn,11238
15,16,January 01 2018,DOG,West High White Terrier,,M,False,Brooklyn,11207
16,17,January 14 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11205
17,18,January 07 2018,DOG,,,U,False,Brooklyn,11209
18,19,January 13 2018,DOG,MIXED,7,M,False,Brooklyn,11237
19,20,January 10 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11233
20,21,January 15 2018,DOG,"Poodle, Miniature",8,M,True,Brooklyn,11217
21,22,January 13 2018,DOG,American Pit Bull Terrier/Pit Bull,11,F,True,Brooklyn,11236
22,23,January 13 2018,DOG,UNKNOWN,,U,False,Brooklyn,11234
23,24,January 09 2018,DOG,UNKNOWN,,U,False,Brooklyn,11220
24,25,January 01 2018,DOG,UNKNOWN,,U,False,Brooklyn,
25,26,January 18 2018,DOG,Pekingese,3,M,True,Brooklyn,11220
26,27,January 08 2018,DOG,POODLE X,13Y,M,True,Brooklyn,11215
27,28,January 18 2018,DOG,Labrador Retriever Crossbreed,11,M,True,Brooklyn,11214
28,29,January 18 2018,DOG,American Pit Bull Terrier/Pit Bull,2,F,True,Brooklyn,11230
29,30,January 17 2018,DOG,Dachshund Smooth Coat,2,M,False,Brooklyn,11211
30,31,January 20 2018,DOG,Pit Bull,,U,False,Brooklyn,11224
31,32,January 21 2018,DOG,,2,M,True,Brooklyn,11231
32,33,January 23 2018,DOG,MIXED,,F,False,Brooklyn,11225
33,34,January 23 2018,DOG,MIXED,,F,False,Brooklyn,11225
34,35,January 23 2018,DOG,Chihuahua,4,M,False,Brooklyn,11205
35,36,January 15 2018,DOG,Pit Bull,,U,False,Brooklyn,11208
36,37,January 23 2018,DOG,Yorkshire Terrier,,U,False,Brooklyn,11210
37,38,January 24 2018,DOG,Shih Tzu,,U,False,Brooklyn,11233
38,39,January 28 2018,DOG,Pug,8,M,True,Brooklyn,11223
39,40,January 27 2018,DOG,Maltese,,U,False,Brooklyn,11224
40,41,January 28 2018,DOG,Mixed/Other,,U,False,Brooklyn,11214
41,42,January 29 2018,DOG,Mixed/Other,7,F,False,Brooklyn,11232
42,43,January 27 2018,DOG,UNKNOWN,,U,False,Brooklyn,11226
43,44,January 28 2018,DOG,MINATURE PINSCHER X,8,M,False,Brooklyn,11214
44,45,February 01 2018,DOG,TERRIER CROSS,4,M,False,Brooklyn,11233
45,46,January 31 2018,DOG,Shih Tzu,,U,False,Brooklyn,11215
46,47,February 01 2018,DOG,"Dachshund, Wirehaired, Miniature",10M,M,False,Brooklyn,
47,48,January 29 2018,DOG,AMERICAN STAFF X,3,M,True,Brooklyn,11201
48,49,February 02 2018,DOG,,,U,False,Brooklyn,11212
49,50,February 05 2018,DOG,Bichon Frise,,U,False,Brooklyn,11212
50,51,February 05 2018,DOG,German Shepherd,1,M,False,Brooklyn,11236
51,52,January 31 2018,DOG,Pit Bull,,U,False,Brooklyn,
52,53,February 04 2018,DOG,Pit Bull,,U,False,Brooklyn,11201
53,54,February 04 2018,DOG,MIXED BREED,,U,False,Brooklyn,11211
54,55,January 29 2018,DOG,MIXED,5,M,False,Brooklyn,11236
55,56,January 21 2018,DOG,Pit Bull,,U,False,Brooklyn,11207
56,57,January 21 2018,DOG,Pit Bull,,U,False,Brooklyn,11207
57,58,February 09 2018,DOG,Chihuahua,9M,M,False,Brooklyn,11233
58,59,February 07 2018,DOG,American Pit Bull Terrier/Pit Bull,2,M,False,Brooklyn,11216
59,60,February 13 2018,DOG,MIXED BREED,,M,False,Brooklyn,11231
60,61,February 05 2018,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,False,Brooklyn,11234
61,62,February 12 2018,DOG,German Shepherd,3,M,False,Brooklyn,11235
62,63,February 15 2018,DOG,MIXED BREED,,U,False,Brooklyn,11215
63,64,February 10 2018,DOG,Labrador Retriever,5,M,True,Brooklyn,11239
64,65,February 11 2018,DOG,Rottweiler,,U,False,Brooklyn,
65,66,February 16 2018,DOG,SHIH TZU X,9,M,False,Brooklyn,11236
66,67,February 14 2018,DOG,CANE CORSO/BLUE NOSED PIT BULLX,10,M,False,Brooklyn,11216
67,68,February 18 2018,DOG,POMERANIAN MIX,8M,M,False,Brooklyn,
68,69,February 19 2018,DOG,Norfolk Terrier,,U,False,Brooklyn,11231
69,70,February 20 2018,DOG,BORDER COLLIE MIX,3,F,False,Brooklyn,11216
70,71,February 16 2018,DOG,Beagle Crossbreed,4,F,True,Brooklyn,11209
71,72,February 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,False,Brooklyn,11212
72,73,February 17 2018,DOG,POODLE MIX,4,M,True,Brooklyn,11230
73,74,February 11 2018,DOG,UNCERTAIN,,U,False,Brooklyn,11220
74,75,February 17 2018,DOG,MIXED BREED,2,F,True,Brooklyn,11201
75,76,February 21 2018,DOG,,,U,False,Brooklyn,11231
76,77,February 07 2018,DOG,Labrador Retriever Crossbreed,4,F,True,Brooklyn,11219
77,78,February 09 2018,DOG,Chihuahua,7,M,True,Brooklyn,11214
78,79,February 22 2018,DOG,American Pit Bull Terrier/Pit Bull,2,F,False,Brooklyn,11233
79,80,February 24 2018,DOG,Pit Bull,3,F,True,Brooklyn,11236
80,81,February 25 2018,DOG,Yorkshire Terrier,,F,False,Brooklyn,11234
81,82,February 24 2018,DOG,Rottweiler,,U,False,Brooklyn,11233
82,83,February 25 2018,DOG,Pit Bull,3,M,False,Brooklyn,11218
83,84,February 26 2018,DOG,MINI PINSCHER/POMERANIAN X,8,M,True,Brooklyn,11214
